Frase,Categoria
" ""Amar é a sabedoria dos loucos e a loucura dos sábios."" ",Frases
"Minha felicidade não tem preço, tem o seu nome. ",Frases de Amor
 Perguntaram-me: O que você viu nela? Respondi: O que faltava em mim. ,Frases de Amor
Nós nos apaixonamos por acaso. Nós continuamos apaixonados por escolha. ,Frases de Amor
"O amor não prende, não aperta, não sufoca. Porque quando vira nó, já deixou de ser laço. (Mário Quintana) ",Frases de Amor
"Toda história de amor é bonita, mas a nossa é a minha favorita. ",Frases de Amor
"Você nunca será bom o suficiente para todos, mas será sempre perfeito para aquela pessoa que te merece. ",Frases de Amor
"O amor não precisa ser explicado, apenas vivido. ",Frases de Amor
"Aprenda, quando uma pessoa te ama de verdade ela não desiste de você. ",Frases de Amor
O amor verdadeiro não é aquele que queremos sentir. É o que sentimos independentemente de querer. ,Frases de Amor
"O amor só é lindo, quando encontramos alguém que nos transforme no melhor que podemos ser. (Mário Quintana) ",Frases de Amor
O coração não costuma consultar o cérebro antes de fazer suas escolhas. (Jufras Menhal) ,Frases de Amor
Não procure alguém que te complete. Complete a si mesmo e procure alguém que te transborde. ,Frases de Amor
"Amor é apenas uma palavra, até você encontrar alguém que dê um verdadeiro sentido a ela. ",Frases de Amor
"O amor é o sentimento dos seres imperfeitos, posto que a função do amor é levar o ser humano à perfeição. Como são sábios aqueles que se entregam às loucuras do amor! (Joshua Cooke) ",Frases de Amor
"O amor é psicólogo. Ele acalma, renova e te dá força pra continuar. ",Frases de Amor
"O que machuca não é o amor, são as pessoas. O amor é só um sentimento. (Esteban Tavares) ",Frases de Amor
"Ninguém perde por dar amor, perde é quem não sabe receber. ",Frases de Amor
"O amor verdadeiro não é perfeito, mas incondicional. (Jufras Menhal) ",Frases de Amor
"As pessoas dizem que o amor é cego porque elas não sabem o que é o amor. Só o amor tem olhos. Além do amor, tudo é cego. (Osho) ",Frases de Amor
"Amar, porque nada melhor para a saúde que um amor correspondido. (Vinícius de Moraes) ",Frases de Amor
Existem dois tipos de pessoas no mundo. As que amam o poder e as que tem o poder de amar. ,Frases de Amor
"O verdadeiro amor é como um eletrocardiograma. Tem altos e baixos, mas sempre segue em frente. E cá entre nós, tem tudo a ver com o coração. (Jufras Menhal) ",Frases de Amor
O amor nasce de quase nada e morre de quase tudo. (Júlio Dantas) ,Frases de Amor
"Não importa a distância que nos separa, mas sim o amor que nos une. ",Frases de Amor
A vida sem amor é mais do que incompleta. É trágica. (Jufras Menhal) ,Frases de Amor
